sample_id,dataset_source,subset,image_filename,image_path,file_sha256,width,height,channels,blur_variance,brightness_mean,contrast_std,r_mean,g_mean,b_mean,r_std,g_std,b_std,h_mean,s_mean,v_mean,lab_l_mean,lab_a_mean,lab_b_mean,ground_truth_drug,drug_family,concentration,cutting_agent,presumptive_label,device,lighting,lab_confirmation,is_duplicate,split
BLINDED_435,PMC7332374_NIHMS1576105_idPAD,blinded_study,image22.jpeg,storage/processed_images/idpad/image22.jpeg,af2f65b798828f05a3556cdea917f571b3c0d720bbfc0e680b2e361988541087,301,170,3,2553.46,197.22,62.87,198.52,197.4,192.92,62.22,62.92,65.75,30.69,15.47,200.3,201.18,127.7,130.53,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_672,PMC7332374_NIHMS1576105_idPAD,blinded_study,image24.jpeg,storage/processed_images/idpad/image24.jpeg,201adceda9ee976c3739136b9956f7b2678610e3e4a113a57049e57d56ee2cb9,292,165,3,2237.57,203.19,53.13,204.3,203.14,200.34,53.05,53.27,56.93,45.7,21.63,209.9,207.36,128.14,129.6,Methamphetamine,METHAMPHETAMINE,25%,Dimethyl Sulfone (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_736,PMC7332374_NIHMS1576105_idPAD,blinded_study,image25.jpeg,storage/processed_images/idpad/image25.jpeg,6f0fc4e6b96fd76ba9f66b73a58d7479d3722bf27ab76d29b414650c3c4d5c8e,307,173,3,2640.78,199.75,57.97,199.92,200.05,197.68,58.81,57.81,58.14,35.24,11.27,202.5,203.91,127.67,129.21,None,NEGATIVE_CUTTING_AGENT,0%,Dimethyl Sulfone (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_986,PMC7332374_NIHMS1576105_idPAD,blinded_study,image26.jpeg,storage/processed_images/idpad/image26.jpeg,c17d2db2bda555fd921d6dca4a631f1efcc0fb986da243c3e69e973e5837a642,293,165,3,2846.51,202.6,57.09,203.07,202.97,199.42,57.67,56.93,58.4,33.12,13.44,205.71,206.65,127.53,129.86,Cocaine HCl,COCAINE_SERIES,50%,Lactose (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_24B,PMC7332374_NIHMS1576105_idPAD,blinded_study,image27.jpeg,storage/processed_images/idpad/image27.jpeg,e4299a8ff388bc318150da534322574de43ae6d360be332351848612dbdbb5aa,293,165,3,2555.97,209.53,50.34,208.48,210.06,209.6,51.72,49.96,50.81,50.44,12.59,213.8,213.43,127.47,128.06,Methamphetamine,METHAMPHETAMINE,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_2BQ,PMC7332374_NIHMS1576105_idPAD,blinded_study,image28.jpeg,storage/processed_images/idpad/image28.jpeg,2e1a7ad3c6b9ad152ec524ddfb77864b958c40bf43544cc2e7e6308750b11181,286,161,3,2635.49,190.86,63.22,187.56,192.07,193.07,64.18,62.77,64.78,65.89,16.76,196.23,195.46,126.69,127.01,Crack Cocaine 2,COCAINE_SERIES,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_2DJ,PMC7332374_NIHMS1576105_idPAD,blinded_study,image29.jpeg,storage/processed_images/idpad/image29.jpeg,d683cbd9bf818d069e98ed226e916fb51fce982c6559bf9c5ef8619a8e4946a1,309,174,3,2057.87,195.37,57.71,192.85,196.15,197.88,58.59,57.37,59.64,58.64,17.84,201.65,200.0,127.33,126.83,Heroin,HEROIN_OPIOID,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_2K5,PMC7332374_NIHMS1576105_idPAD,blinded_study,image31.jpeg,storage/processed_images/idpad/image31.jpeg,c140730e11456a5fb40ded48e96487d78294180c9c35f16dca363fbe459ea035,320,180,3,2434.75,204.98,53.73,205.06,204.98,204.75,54.03,53.82,54.09,45.54,10.2,208.3,208.89,128.08,128.15,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_2N4,PMC7332374_NIHMS1576105_idPAD,blinded_study,image32.jpeg,storage/processed_images/idpad/image32.jpeg,955a66c94589e659595afaafe7ec2dedf804ac4ca1c7d3a9d8fe858e4c7dc919,301,170,3,2505.57,194.88,60.46,194.11,195.16,195.31,60.26,60.41,63.21,51.85,19.32,200.83,199.17,127.82,127.93,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_2TN,PMC7332374_NIHMS1576105_idPAD,blinded_study,image33.jpeg,storage/processed_images/idpad/image33.jpeg,a4a94ed55940350bf4b765f08dc3e323ae3243535c7ed459efdf76bec8b95773,309,174,3,2656.38,199.2,56.98,200.06,199.64,194.65,57.97,56.68,58.38,30.57,16.16,202.8,203.58,127.41,130.65,Heroin,HEROIN_OPIOID,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
